review_tokens_stemmed,sentimen,classified_text,tweet_text,sentence_score,max_positive,max_negative,kelas
coba tipe kulit minyak,"{'classified_text': 'coba tipe kulit minyak', 'tweet_text': ' coba tipe kulit minyak', 'sentence_score': ['coba tipe kulit minyak'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}",coba tipe kulit minyak, coba tipe kulit minyak,['coba tipe kulit minyak'],1,-1,netral
pes tanggal tanggal banget,"{'classified_text': 'pes tanggal tanggal banget', 'tweet_text': ' pes tanggal tanggal banget', 'sentence_score': ['pes tanggal tanggal banget'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}",pes tanggal tanggal banget, pes tanggal tanggal banget,['pes tanggal tanggal banget'],1,-1,netral
moga cocok coba cleansing oil merk,"{'classified_text': 'moga cocok [3] coba cleansing oil merk', 'tweet_text': ' moga cocok coba cleansing oil merk', 'sentence_score': ['moga cocok [3] coba cleansing oil merk'], 'max_positive': 3, 'max_negative': -1, 'kelas': 'positif'}",moga cocok [3] coba cleansing oil merk, moga cocok coba cleansing oil merk,['moga cocok [3] coba cleansing oil merk'],3,-1,positif
efek,"{'classified_text': 'efek', 'tweet_text': ' efek', 'sentence_score': ['efek'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}",efek, efek,['efek'],1,-1,netral
wow best buy pakai up kalo coba somethinc cushion copy paste loose powder benar ampuh banget tahan minyak hari kerja kalo siang kayak kilang minyak benar efek ngeblur imperfection muka,"{'classified_text': 'wow [4] best buy pakai up kalo coba somethinc cushion copy paste loose powder benar [4] ampuh banget tahan minyak hari kerja kalo siang kayak kilang minyak benar [4] efek ngeblur imperfection muka', 'tweet_text': ' wow best buy pakai up kalo coba somethinc cushion copy paste loose powder benar ampuh banget tahan minyak hari kerja kalo siang kayak kilang minyak benar efek ngeblur imperfection muka', 'sentence_score': ['wow [4] best buy pakai up kalo coba somethinc cushion copy paste loose powder benar [4] ampuh banget tahan minyak hari kerja kalo siang kayak kilang minyak benar [4] efek ngeblur imperfection muka'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}",wow [4] best buy pakai up kalo coba somethinc cushion copy paste loose powder benar [4] ampuh banget tahan minyak hari kerja kalo siang kayak kilang minyak benar [4] efek ngeblur imperfection muka, wow best buy pakai up kalo coba somethinc cushion copy paste loose powder benar ampuh banget tahan minyak hari kerja kalo siang kayak kilang minyak benar efek ngeblur imperfection muka,['wow [4] best buy pakai up kalo coba somethinc cushion copy paste loose powder benar [4] ampuh banget tahan minyak hari kerja kalo siang kayak kilang minyak benar [4] efek ngeblur imperfection muka'],4,-1,positif
tipe kulit kering,"{'classified_text': 'tipe kulit kering', 'tweet_text': ' tipe kulit kering', 'sentence_score': ['tipe kulit kering'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}",tipe kulit kering, tipe kulit kering,['tipe kulit kering'],1,-1,netral
packing rapi moga cocok kurir bl list,"{'classified_text': 'packing rapi [4] moga cocok [3] kurir bl list', 'tweet_text': ' packing rapi moga cocok kurir bl list', 'sentence_score': ['packing rapi [4] moga cocok [3] kurir bl list'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}",packing rapi [4] moga cocok [3] kurir bl list, packing rapi moga cocok kurir bl list,['packing rapi [4] moga cocok [3] kurir bl list'],4,-1,positif
moga cocok kulit sensitif teman rekomen coba langsung checkout,"{'classified_text': 'moga cocok [3] kulit sensitif [-2] teman rekomen coba langsung checkout', 'tweet_text': ' moga cocok kulit sensitif teman rekomen coba langsung checkout', 'sentence_score': ['moga cocok [3] kulit sensitif [-2] teman rekomen coba langsung checkout'], 'max_positive': 3, 'max_negative': -2, 'kelas': 'positif'}",moga cocok [3] kulit sensitif [-2] teman rekomen coba langsung checkout, moga cocok kulit sensitif teman rekomen coba langsung checkout,['moga cocok [3] kulit sensitif [-2] teman rekomen coba langsung checkout'],3,-2,positif
mantap pas flash sale rban,"{'classified_text': 'mantap [4] pas flash sale rban', 'tweet_text': ' mantap pas flash sale rban', 'sentence_score': ['mantap [4] pas flash sale rban'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}",mantap [4] pas flash sale rban, mantap pas flash sale rban,['mantap [4] pas flash sale rban'],4,-1,positif
tipe kulit minyak tipe kulit normal tipe kulit kombinasi kulit kerut tipe kulit kering kulit jerawat kulit pori tipe kulit sensitif,"{'classified_text': 'tipe kulit minyak tipe kulit normal [-1] tipe kulit kombinasi kulit kerut [-2] tipe kulit kering kulit jerawat kulit pori tipe kulit sensitif [-2]', 'tweet_text': ' tipe kulit minyak tipe kulit normal tipe kulit kombinasi kulit kerut tipe kulit kering kulit jerawat kulit pori tipe kulit sensitif', 'sentence_score': ['tipe kulit minyak tipe kulit normal [-1] tipe kulit kombinasi kulit kerut [-2] tipe kulit kering kulit jerawat kulit pori tipe kulit sensitif [-2]'], 'max_positive': 1, 'max_negative': -2, 'kelas': 'negatif'}",tipe kulit minyak tipe kulit normal [-1] tipe kulit kombinasi kulit kerut [-2] tipe kulit kering kulit jerawat kulit pori tipe kulit sensitif [-2], tipe kulit minyak tipe kulit normal tipe kulit kombinasi kulit kerut tipe kulit kering kulit jerawat kulit pori tipe kulit sensitif,['tipe kulit minyak tipe kulit normal [-1] tipe kulit kombinasi kulit kerut [-2] tipe kulit kering kulit jerawat kulit pori tipe kulit sensitif [-2]'],1,-2,negatif
