review_tokens_stemmed,sentimen,classified_text,tweet_text,sentence_score,max_positive,max_negative,kelas
kulit kerut,"{'classified_text': 'kulit kerut [-2]', 'tweet_text': ' kulit kerut', 'sentence_score': ['kulit kerut [-2]'], 'max_positive': 1, 'max_negative': -2, 'kelas': 'negatif'}",kulit kerut [-2], kulit kerut,['kulit kerut [-2]'],1,-2,negatif
tipe kulit kering,"{'classified_text': 'tipe kulit kering', 'tweet_text': ' tipe kulit kering', 'sentence_score': ['tipe kulit kering'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}",tipe kulit kering, tipe kulit kering,['tipe kulit kering'],1,-1,netral
bagus banget lip tint nya warna bagus kemas gemas banget terima kasih,"{'classified_text': 'bagus [5] banget lip tint nya warna bagus [4] kemas gemas banget terima kasih [4]', 'tweet_text': ' bagus banget lip tint nya warna bagus kemas gemas banget terima kasih', 'sentence_score': ['bagus [5] banget lip tint nya warna bagus [4] kemas gemas banget terima kasih [4]'], 'max_positive': 5, 'max_negative': -1, 'kelas': 'positif'}",bagus [5] banget lip tint nya warna bagus [4] kemas gemas banget terima kasih [4], bagus banget lip tint nya warna bagus kemas gemas banget terima kasih,['bagus [5] banget lip tint nya warna bagus [4] kemas gemas banget terima kasih [4]'],5,-1,positif
expire kirim cepat cocok guna sesuai instruksi,"{'classified_text': 'expire kirim cepat [4] cocok [4] guna sesuai [3] instruksi', 'tweet_text': ' expire kirim cepat cocok guna sesuai instruksi', 'sentence_score': ['expire kirim cepat [4] cocok [4] guna sesuai [3] instruksi'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}",expire kirim cepat [4] cocok [4] guna sesuai [3] instruksi, expire kirim cepat cocok guna sesuai instruksi,['expire kirim cepat [4] cocok [4] guna sesuai [3] instruksi'],4,-1,positif
no review found,"{'classified_text': 'no review found', 'tweet_text': ' no review found', 'sentence_score': ['no review found'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}",no review found, no review found,['no review found'],1,-1,netral
gift beli lucu banget suka terima kasih,"{'classified_text': 'gift beli lucu [5] banget suka [5] terima kasih [4]', 'tweet_text': ' gift beli lucu banget suka terima kasih', 'sentence_score': ['gift beli lucu [5] banget suka [5] terima kasih [4]'], 'max_positive': 5, 'max_negative': -1, 'kelas': 'positif'}",gift beli lucu [5] banget suka [5] terima kasih [4], gift beli lucu banget suka terima kasih,['gift beli lucu [5] banget suka [5] terima kasih [4]'],5,-1,positif
ringan banget kayak pakai benar transferproof design nya lucu,"{'classified_text': 'ringan banget kayak pakai benar [4] transferproof design nya lucu [4]', 'tweet_text': ' ringan banget kayak pakai benar transferproof design nya lucu', 'sentence_score': ['ringan banget kayak pakai benar [4] transferproof design nya lucu [4]'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}",ringan banget kayak pakai benar [4] transferproof design nya lucu [4], ringan banget kayak pakai benar transferproof design nya lucu,['ringan banget kayak pakai benar [4] transferproof design nya lucu [4]'],4,-1,positif
tipe kulit sensitif cocok banget pakai bikin kering,"{'classified_text': 'tipe kulit sensitif [-2] cocok [4] banget pakai bikin kering', 'tweet_text': ' tipe kulit sensitif cocok banget pakai bikin kering', 'sentence_score': ['tipe kulit sensitif [-2] cocok [4] banget pakai bikin kering'], 'max_positive': 4, 'max_negative': -2, 'kelas': 'positif'}",tipe kulit sensitif [-2] cocok [4] banget pakai bikin kering, tipe kulit sensitif cocok banget pakai bikin kering,['tipe kulit sensitif [-2] cocok [4] banget pakai bikin kering'],4,-2,positif
sesuai estimasi kirim packing aman terima kasih jne tokopedia,"{'classified_text': 'sesuai [3] estimasi kirim packing aman [4] terima kasih [4] jne tokopedia', 'tweet_text': ' sesuai estimasi kirim packing aman terima kasih jne tokopedia', 'sentence_score': ['sesuai [3] estimasi kirim packing aman [4] terima kasih [4] jne tokopedia'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}",sesuai [3] estimasi kirim packing aman [4] terima kasih [4] jne tokopedia, sesuai estimasi kirim packing aman terima kasih jne tokopedia,['sesuai [3] estimasi kirim packing aman [4] terima kasih [4] jne tokopedia'],4,-1,positif
coba nih serum moga cocok packing aman kurir top tipe kulit minyak kulit jerawat kulit pori,"{'classified_text': 'coba nih serum moga cocok [3] packing aman [4] kurir top [4] tipe kulit minyak kulit jerawat kulit pori', 'tweet_text': ' coba nih serum moga cocok packing aman kurir top tipe kulit minyak kulit jerawat kulit pori', 'sentence_score': ['coba nih serum moga cocok [3] packing aman [4] kurir top [4] tipe kulit minyak kulit jerawat kulit pori'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}",coba nih serum moga cocok [3] packing aman [4] kurir top [4] tipe kulit minyak kulit jerawat kulit pori, coba nih serum moga cocok packing aman kurir top tipe kulit minyak kulit jerawat kulit pori,['coba nih serum moga cocok [3] packing aman [4] kurir top [4] tipe kulit minyak kulit jerawat kulit pori'],4,-1,positif
